title,brand,price,img_url,category,shelf_life,id
"Ceramic Serving Bowls - The Serving Hut Goblets, Hand-Painted",ExclusiveLane,1060.0,https://www.bigbasket.com/media/uploads/p/l/40239041_1-exclusivelane-ceramic-serving-bowls-the-serving-hut-goblets-hand-painted.jpg,"Kitchen, Garden & Pets",,246
Lavender Aroma Massage Oil,Soulflower,450.0,https://www.bigbasket.com/media/uploads/p/l/30006526_3-soulflower-lavender-aroma-massage-oil.jpg,Beauty & Hygiene,520.0,247
Disinfectant Surface & Floor Cleaner Liquid - Citrus,Lizol,230.0,https://www.bigbasket.com/media/uploads/p/l/40238533_2-lizol-all-in-1-disinfectant-surface-cleaner-triple-action-formula-kills-999-germs-citrus.jpg,Cleaning & Household,730.0,248
"Cooking Paste - Hyderabadi Biryani, Ready To Cook Indian Paste, No Preservatives",ITC Master Chef,75.0,https://www.bigbasket.com/media/uploads/p/l/40200610_2-itc-master-chef-cooking-paste-hyderabadi-biryani-ready-to-cook-indian-paste-no-preservatives.jpg,Snacks & Branded Foods,,249
"Total Effects 7 In One Day Cream - Normal, Hydrates & Moisturises The Skin, Minimises Pores, SPF 15",Olay,899.0,https://www.bigbasket.com/media/uploads/p/l/40083862_10-olay-total-effects-7-in-1-day-cream-normal-spf-15-rich-in-vitamin-b5-c-e.jpg,Beauty & Hygiene,520.0,250
Premium Veg Mayo Dip & Spread,Wingreens Farms,119.0,https://www.bigbasket.com/media/uploads/p/l/40134960_3-wingreens-farms-premium-veg-mayo-dip-spread.jpg,Gourmet & World Food,,251
Shilajit/Asphaltum Extract Powder 500 mg Capsules - Increase Vigor & Vitality,Healthvit,500.0,https://www.bigbasket.com/media/uploads/p/l/40218977_1-healthvit-shilajitasphaltum-extract-powder-500-mg-capsules-increase-vigor-vitality.jpg,Beauty & Hygiene,520.0,252
"Coconut Milk Conditioner - Hydrates & Nourishes The Hair, No Parabens & Sulphate",Himalayan Organics,725.0,https://www.bigbasket.com/media/uploads/p/l/40227329_2-himalayan-organics-coconut-milk-conditioner-hydrates-nourishes-the-hair-no-parabens-sulphate.jpg,Beauty & Hygiene,520.0,253
Fennel/Saunf/Sompu - Small,BB Royal,60.0,https://www.bigbasket.com/media/uploads/p/l/20000475_7-bb-royal-fennelsaunf-small.jpg,"Foodgrains, Oil & Masala",180.0,254
"Chicken - Lollipop, Antibiotic Residue-Free, 7 To 10 pcs",Fresho,155.0,https://www.bigbasket.com/media/uploads/p/l/10000929_9-fresho-chicken-lollipop-antibiotic-residue-free.jpg,"Eggs, Meat & Fish",60.0,255
